name,latitude,longitude,bus,tram,strain,train,other
Borsigstr.,50.958707,6.9051,139;140;141;143,,,,
Brahmsstr.,50.925968,6.898241,136,7,,,
Braugasse,50.944207,6.829806,141;143,,,,
Brauweiler Str.,50.948612,6.824961,949,,,,
Bremerhavener Str.,50.99736,6.936895,122,,,,
Brennerei,50.964523,6.828728,962;967,,,,
Breslauer Platz/Hbf,50.943542,6.959889,124;132;133;171;250;260;978;SB40,16;18,,,
Broichstr.,50.950625,7.050195,157,,,,
Bruder-Klaus-Siedlung,50.981683,7.00835,151;152,,,,
Brück Mauspfad,50.949007,7.079239,154,1,,,TaxiBus 187
Brüggener Str.,50.90514,6.939196,131,,,,
Brühler Str./Gürtel,50.903791,6.956752,130;133;134,,,,
Buchforst S-Bahn,50.953484,7.004323,159;171,,S6;S11,,
Buchforst Waldecker Str.,50.951003,7.005006,159;171,3,,,
Buchheim Frankfurter Str.,50.953169,7.014076,151;152;153,3,,,
Buchheim Herler Str.,50.957996,7.02516,159;195,3;13;18,,,
Buchheimer Weg,50.933636,7.037484,151;152,,,,
Bugenhagenstr.,50.986447,7.024126,,,,,TaxiBus 189
Bunsenstr.,50.853578,6.975189,135,,,,
Burgwiesenstr.,50.964235,7.043363,157,,,,
Buschfeldstr.,50.971714,7.040172,157,,,,
Buschweg,50.984667,6.860217,126,,,,
Butzweilerstr.,50.968783,6.916417,140,,,,
Böcklinstr.,50.941429,6.85868,141;172,,,,
Bödinger Str.,50.874379,6.950846,131;132,,,,
Börnestr.,50.979867,6.865233,127,,,,
Bückebergstr.,50.941843,7.084561,154,,,,TaxiBus 187
Campingplatz,50.890856,7.025573,,,,,
Carlswerkstr.,50.964801,7.017923,150,,,,
Celsiusstr.,50.882145,7.067913,151;152;160;161;162,,,,
Chempark Tor 10,51.010826,6.989886,201;255;SB28,,,,
Cheruskerstr.,50.900726,7.055103,152,,,,
Chlodwigplatz,50.921159,6.959691,106;132;133;142,15;16;17,,,
Chorbuschstr.,51.012741,6.857763,125;126,,,,
Chorweiler,51.021119,6.89798,120;121;122;125;126,15,S6;S11,,
Christian-Sünner-Str.,50.934427,7.009249,193,,,,
Christophstr./Mediapark,50.944638,6.94236,,12;15,,,
Clarenbachstift,50.937312,6.894313,,1,,,
Colonia-Allee,50.963291,7.047228,157,,,,
Corintostr.,50.941196,6.993662,150;193,,,,
Cottbuser Str.,50.978797,7.020566,155;434,,,,
Cranachstr.,50.96117,6.954028,147,,,,TaxiBus 186
Curt-Stenvert-Bogen,50.953933,6.828844,145;149;172,,,,
Cäsarstr.,50.906272,6.963799,132,,,,
CöllnParc,50.977027,6.921496,121,,,,
DLR,50.855169,7.119034,162,,,,
Danzierstr.,50.958958,6.9999,150;155;260;434,,,,
Dasselstr./Süd Bf,50.928287,6.935771,,9;E,,,
Deckstein,50.916808,6.900012,146,,,,
Dellbrück Hauptstr.,50.974806,7.074825,154;436,3;18,,,
Dellbrück Mauspfad,50.971894,7.064946,,3;18,,,
Dellbrück S-Bahn,50.98144,7.070115,154;435;436,,S11,,
Deutz Technische Hochschule,50.936701,6.98532,153;179,1;9,,,
Deutzer Freiheit,50.936746,6.971189,,1;7;9,,,
Deutzer Friedhof,50.925491,6.992044,196,,,,
Deutzer Ring,50.935532,6.993662,153;159,,,,
Diepenbeekallee,50.935317,6.845906,143,,,,
Diepeschrather Str.,50.986492,7.067733,154,,,,
Dieselstr.,50.947137,6.841744,144,,,,
Dillenburger Str.,50.934013,7.011164,193,,,,
Dionysstr.,50.997099,6.906601,121,,,,
Dohmengasse,50.980595,6.857799,126,,,,
Dom/Hbf,50.941789,6.957219,172;173,5;16;18,,,
Donatusstr.,51.006583,6.871453,125,,,,
Dornstr.,51.068213,6.857349,120,,,,
Dorotheenstr.,50.886316,7.074187,162,,,,
Drehbrücke,50.928458,6.974982,,7,,,
Drosselweg,50.977027,6.960734,147,,,,
Dädalusring,50.990573,6.906125,121,,,,
Dünnwalder Str.,50.968972,7.006849,151;152;153,,,,
Dürener Str./Gürtel,50.927757,6.908812,136,7;13,,,
Ebernburgweg,50.969062,6.932139,127;147,,,,
Ebertplatz,50.950634,6.958945,127;140,12;15;16;18,,,TaxiBus 184
Eddaweg,50.976631,7.035219,155,,,,
Edelhofstr.,51.000866,6.980178,151;152,,,,
Edmund-Rumpler-Str.,50.911954,7.054393,152,,,,
Edsel-Ford-Str.,51.030333,6.922845,121;124,,,,
Egelspfad,50.942148,6.853745,141;172,,,,
Eggerbachstr.,50.955677,7.050132,157,,,,
Egonstr.,50.99078,6.986174,151;152,,,,
Eichenstr.,50.927074,6.868604,143;173,,,,
Eifelplatz,50.92328,6.943493,,12,,,
Eifelstr.,50.926651,6.945686,,12;15;16,,,
Eifelwall/Stadtarchiv,50.924781,6.937039,142,18,,,
Eil Heumarer Str.,50.897211,7.077891,151;152,,,,
Eil Kirche,50.892249,7.077953,151;152;160,,,,
Eiler Str.,50.917104,7.08154,154,,,,
Elisabeth-Breuer-Str.,50.959516,7.008296,151;152;153;159;171,,,,
Elsdorf,50.872392,7.083347,162,,,,
Emilstr.,50.966392,6.897864,139,,,,
Engeldorfer Hof,50.853802,6.921173,132;935,,,,
Engeldorfer Str.,50.858953,6.92849,132;935,,,,
Ensen Gilgaustr.,50.89954,7.031156,,7,,,
Ensen Kloster,50.897112,7.047318,,7,,,
Erker Mühle,50.932629,7.091329,154,,,,
Erlenweg,50.968298,6.895526,139,,,,
Ernst-Volland-Str.,50.867763,7.017609,131;134,,,,
Esch,51.013819,6.854832,125,,,,
Escher See,51.006934,6.868936,125;126,,,,
Escher Str.,50.964568,6.933722,,13,,,
Esserstr.,50.930004,6.996844,153,,,,
Esso,51.007275,6.92956,122,,,,
Ettore-Bugatti-Str.,50.908807,7.055229,152,,,,
Etzelstr.,50.978303,6.931744,140,,,,
